Id,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,cat_crop
1,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,1254,2000,Nuts
2,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Other Kharif pulses,2,1,Pulses
3,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102,321,Cereal
4,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176,641,Fruits
5,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Cashewnut,720,165,Nuts
6,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,18168,65100000,Fruits
7,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Dry ginger,36,100,Species
8,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1,2,Sugarcane
9,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,5,15,Vegetables
10,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,40,169,Beans
11,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,1254,2061,Nuts
12,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Other Kharif pulses,2,1,Pulses
13,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83,300,Cereal
14,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Cashewnut,719,192,Nuts
15,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,18190,64430000,Fruits
16,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,46,100,Species
17,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1,1,Sugarcane
18,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11,33,Vegetables
19,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84,Cereal
20,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258,2083,Nuts
21,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213,1278,Fruits
22,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63,13.5,Species
23,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,719,208,Nuts
24,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,18240,67490000,Fruits
25,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,413,28.8,Species
26,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry ginger,47.3,133,Species
27,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5,40,Sugarcane
28,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52,90.17,Cereal
29,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,1261,1525,Nuts
30,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266,1763,Fruits
31,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,75.5,15.86,Species
32,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,717,208.5,Nuts
33,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,18284.74,68580000,Fruits
34,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,60,102,Species
35,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,102,326.4,Species
36,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,other oilseeds,4.2,0.3,Oilseeds
37,Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57,Cereal
38,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Arecanut,1264.7,805.85,Nuts
39,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,66.42,404.12,Fruits
40,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,85,15.86,Species
41,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Cashewnut,683.5,197.9,Nuts
42,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,18394.7,52380000,Fruits
43,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry chillies,60,145.2,Species
44,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry ginger,118,366,Species
45,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,other oilseeds,1,0.11,Oilseeds
46,Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06,Cereal
47,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,22,582,Fruits
48,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,41,0.1,Species
49,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Cashewnut,450,55.8,Nuts
50,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,13876.57,52030000,Fruits
51,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Turmeric,10,70,Species
52,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Arecanut,896,477.6,Nuts
53,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,198,976,Fruits
54,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,22.16,0.68,Species
55,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Cashewnut,450,85.13,Nuts
56,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,14358,59370000,Fruits
57,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry chillies,3,9,Species
58,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry ginger,6,21,Species
59,West Bengal,MEDINIPUR WEST,2004,Rabi       ,Rapeseed &Mustard,21672,16027,Oilseeds
60,West Bengal,MEDINIPUR WEST,2004,Rabi       ,Urad,1185,1114,Pulses
61,West Bengal,MEDINIPUR WEST,2004,Rabi       ,Wheat,11463,24123,Cereal
62,West Bengal,MEDINIPUR WEST,2004,Summer     ,Moong(Green Gram),2033,673,Fruits
63,West Bengal,MEDINIPUR WEST,2004,Summer     ,Rice,121743,370448,Cereal
64,West Bengal,MEDINIPUR WEST,2004,Whole Year ,Coconut ,1150,18433.4,Fruits
65,West Bengal,MEDINIPUR WEST,2004,Whole Year ,Dry chillies,5941,5804,Species
66,West Bengal,MEDINIPUR WEST,2004,Whole Year ,Groundnut,9945,15967,Nuts
67,West Bengal,MEDINIPUR WEST,2004,Whole Year ,Potato,56673,1268695,Vegetables
68,West Bengal,MEDINIPUR WEST,2004,Whole Year ,Sannhamp,418,2169,Fertile Plant
69,West Bengal,MEDINIPUR WEST,2004,Whole Year ,Sesamum,53774,45921,Oilseeds
70,West Bengal,MEDINIPUR WEST,2004,Whole Year ,Sugarcane,2230,122446,Sugarcane
71,West Bengal,MEDINIPUR WEST,2004,Whole Year ,Turmeric,1448,1791,Species
72,West Bengal,MEDINIPUR WEST,2004,Winter     ,Rice,480679,1259961,Cereal
73,West Bengal,MEDINIPUR WEST,2005,Autumn     ,Rice,40622,89173,Cereal
74,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Cotton(lint),31,32,fibres
75,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Dry ginger,1621,2177,Species
76,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Jute,5209,74916,fibres
77,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Maize,1125,2033,Cereal
78,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Mesta,3,31,fibres
79,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Moong(Green Gram),150,76,Fruits
80,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Niger seed,75,34,Oilseeds
81,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Other Kharif pulses,370,345,Pulses
82,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Sunflower,392,557,Oilseeds
83,West Bengal,MEDINIPUR WEST,2005,Kharif     ,Urad,20,5,Pulses
84,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Arhar/Tur,274,286,Pulses
85,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Castor seed,45,37,Oilseeds
86,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Gram,55,44,Beans
87,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Horse-gram,855,457,Beans
88,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Khesari,250,218,Vegetables
89,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Linseed,9,2,Oilseeds
90,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Masoor,213,125,Pulses
91,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Moong(Green Gram),750,533,Fruits
92,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Peas & beans (Pulses),26,33,Pulses
93,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Rapeseed &Mustard,20249,16736,Oilseeds
94,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Safflower,190,120,Oilseeds
95,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Urad,1225,1091,Pulses
96,West Bengal,MEDINIPUR WEST,2005,Rabi       ,Wheat,12071,21026,Cereal
97,West Bengal,MEDINIPUR WEST,2005,Summer     ,Moong(Green Gram),2735,1107,Fruits
98,West Bengal,MEDINIPUR WEST,2005,Summer     ,Rice,121906,361879,Cereal
99,West Bengal,MEDINIPUR WEST,2005,Whole Year ,Arecanut,124,131,Nuts
100,West Bengal,MEDINIPUR WEST,2005,Whole Year ,Coconut ,1170,19486,Fruits
101,West Bengal,MEDINIPUR WEST,2005,Whole Year ,Dry chillies,5845,5101,Species
102,West Bengal,MEDINIPUR WEST,2005,Whole Year ,Groundnut,11325,18152,Nuts
103,West Bengal,MEDINIPUR WEST,2005,Whole Year ,Potato,71334,1519588,Vegetables
104,West Bengal,MEDINIPUR WEST,2005,Whole Year ,Sannhamp,277,1496,Fertile Plant
105,West Bengal,MEDINIPUR WEST,2005,Whole Year ,Sesamum,52266,44002,Oilseeds
106,West Bengal,MEDINIPUR WEST,2005,Whole Year ,Sugarcane,1915,174978,Sugarcane
107,West Bengal,MEDINIPUR WEST,2005,Whole Year ,Turmeric,1543,1807,Species
108,West Bengal,MEDINIPUR WEST,2005,Winter     ,Rice,491499,1178578,Cereal
109,West Bengal,MEDINIPUR WEST,2006,Autumn     ,Rice,41452,81267,Cereal
110,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Bajra,79,31,Cereal
111,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Cotton(lint),291,2328,fibres
112,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Dry ginger,1835,2523,Species
113,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Jute,5178,70826,fibres
114,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Maize,799,1825,Cereal
115,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Moong(Green Gram),96,55,Fruits
116,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Niger seed,55,22,Oilseeds
117,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Other Kharif pulses,355,302,Pulses
118,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Sunflower,350,519,Oilseeds
119,West Bengal,MEDINIPUR WEST,2006,Kharif     ,Urad,469,161,Pulses
120,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Arhar/Tur,329,199,Pulses
121,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Castor seed,58,49,Oilseeds
122,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Gram,13,10,Beans
123,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Horse-gram,900,473,Beans
124,West Bengal,MEDINIPUR WEST,2006,Rabi       ,Khesari,87,50,Vegetables
